timestamp,fila_tamanho,detectados_total,movidos_total,ignorados_total,detectados_por_intervalo,movidos_por_intervalo,ignorados_por_intervalo
2026-03-03T16:06:44.361845,0,0,1,0,0,0,0
2026-03-03T16:06:48.615110,0,0,1,0,0,0,0
2026-03-03T16:06:50.758489,0,0,1,0,0,0,0
2026-03-03T16:06:53.478351,0,0,1,0,0,0,0
2026-03-03T16:06:55.803343,0,0,1,0,0,0,0
2026-03-03T16:06:58.119370,0,0,1,0,0,0,0
2026-03-03T16:07:00.261244,0,0,1,0,0,0,0
2026-03-03T16:07:02.391513,0,0,1,0,0,0,0
2026-03-03T16:07:04.604292,0,0,1,0,0,0,0
2026-03-03T16:07:06.759298,0,0,1,0,0,0,0
2026-03-03T16:07:08.916970,0,0,1,0,0,0,0
2026-03-03T16:07:11.148489,0,0,1,0,0,0,0
2026-03-03T16:07:13.286086,0,0,1,0,0,0,0
2026-03-03T16:07:15.438559,0,0,1,0,0,0,0
2026-03-03T16:07:17.588554,0,0,1,0,0,0,0
2026-03-03T16:07:19.773069,0,0,1,0,0,0,0
2026-03-03T16:07:21.921907,0,0,1,0,0,0,0
2026-03-03T16:07:24.058246,0,0,1,0,0,0,0
2026-03-03T16:07:26.200846,0,0,1,0,0,0,0
2026-03-03T16:07:28.433349,0,0,1,0,0,0,0
2026-03-03T16:24:21.394107,0,0,0,0,0,0,0
2026-03-03T16:24:23.586038,0,0,0,0,0,0,0
2026-03-03T16:24:25.799263,0,0,0,0,0,0,0
2026-03-03T16:24:28.024683,0,0,0,0,0,0,0
2026-03-03T16:24:30.261675,0,0,0,0,0,0,0
2026-03-03T16:24:32.456852,0,0,0,0,0,0,0
2026-03-03T16:24:34.685495,0,0,0,0,0,0,0
2026-03-03T16:24:36.886065,0,0,0,0,0,0,0
2026-03-03T16:24:39.104005,0,0,0,0,0,0,0
2026-03-03T16:24:41.299304,0,0,0,0,0,0,0
2026-03-03T16:24:43.500353,0,0,0,0,0,0,0
2026-03-03T16:24:45.766979,0,0,0,0,0,0,0
2026-03-03T16:24:47.995709,0,0,0,0,0,0,0
2026-03-03T16:24:50.205573,0,0,0,0,0,0,0
2026-03-03T16:24:52.406829,0,0,0,0,0,0,0
2026-03-03T16:24:54.574423,0,0,0,0,0,0,0
2026-03-03T16:24:56.804471,0,0,0,0,0,0,0
2026-03-03T16:24:59.084228,0,0,0,0,0,0,0
2026-03-03T16:25:01.397206,0,0,0,0,0,0,0
2026-03-03T16:25:03.687131,0,0,0,0,0,0,0
2026-03-03T16:25:06.016705,0,0,0,0,0,0,0
2026-03-03T16:25:08.300954,0,0,0,0,0,0,0
2026-03-03T16:25:10.644875,0,0,0,0,0,0,0
2026-03-03T16:25:12.988553,0,0,0,0,0,0,0
2026-03-03T16:25:15.266950,0,0,0,0,0,0,0
2026-03-03T16:25:17.620215,0,0,0,0,0,0,0
2026-03-03T16:25:19.970021,0,0,0,0,0,0,0
2026-03-03T16:25:22.268152,0,0,0,0,0,0,0
2026-03-03T16:25:24.486951,0,0,0,0,0,0,0
2026-03-03T16:25:26.751599,0,0,0,0,0,0,0
2026-03-03T16:25:29.048066,0,0,0,0,0,0,0
2026-03-03T16:25:31.237130,0,0,0,0,0,0,0
2026-03-03T16:25:33.454865,0,0,0,0,0,0,0
2026-03-03T16:25:35.812245,0,0,0,0,0,0,0
2026-03-03T16:25:38.071854,0,0,0,0,0,0,0
2026-03-03T16:25:40.314066,0,0,0,0,0,0,0
2026-03-03T16:25:42.626619,0,0,0,0,0,0,0
2026-03-03T16:25:44.955095,0,0,0,0,0,0,0
2026-03-03T16:25:47.266055,0,0,0,0,0,0,0
2026-03-03T16:25:49.608996,0,0,0,0,0,0,0
2026-03-03T16:25:51.864763,0,0,0,0,0,0,0
2026-03-03T16:25:54.153557,0,0,0,0,0,0,0
2026-03-03T16:25:56.470431,0,0,0,0,0,0,0
2026-03-03T16:25:58.719057,0,0,0,0,0,0,0
2026-03-03T16:26:01.024364,0,0,0,0,0,0,0
2026-03-03T16:26:03.305818,0,0,0,0,0,0,0
2026-03-03T16:26:05.618244,0,0,0,0,0,0,0
2026-03-03T16:26:07.953165,0,0,0,0,0,0,0
2026-03-03T16:26:10.297978,0,0,0,0,0,0,0
2026-03-03T16:26:12.581207,0,0,0,0,0,0,0
2026-03-03T16:26:14.879463,0,0,0,0,0,0,0
2026-03-03T16:26:17.145318,0,0,0,0,0,0,0
2026-03-03T16:26:19.420459,0,0,0,0,0,0,0
2026-03-03T16:26:21.701758,0,0,0,0,0,0,0
2026-03-03T16:26:23.940187,0,0,0,0,0,0,0
2026-03-03T16:26:26.209480,0,0,0,0,0,0,0
2026-03-03T16:26:28.517526,0,0,0,0,0,0,0
2026-03-03T16:26:30.722035,0,0,0,0,0,0,0
2026-03-03T16:26:32.927534,0,0,0,0,0,0,0
2026-03-03T16:26:35.257658,0,0,0,0,0,0,0
2026-03-03T16:26:37.298920,0,0,0,0,0,0,0
